sample_id,condition,question,answer,ground_truth,is_correct,vqa_accuracy_score,confidence,consistency,hallucination_flag,selected_pass,pass1_answer,pass2_answer,pass3_answer,latency_total_s,latency_pass1_s,latency_pass2_s,latency_pass3_s,gpu_util_avg_pct,peak_gpu_mem_gb,num_model_calls,modality
synth_no_pass3_00046,no_pass3,What is the dominant color in this image?,burgundy,maroon | maroon | dark red,False,0.0,1.0,1.0,True,1,burgundy,burgundy,burgundy,0.7226,0.405,0.307,0.0,44.0,9.05,2,image+text
synth_no_pass3_00047,no_pass3,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color is purple,the dominant color in this image is purple,0.9039,0.4932,0.3994,0.0,47.5,9.05,2,image+text
synth_no_pass3_00048,no_pass3,What color is the circle?,the circle is green,cyan | cyan | teal | teal,False,0.0,1.0,1.0,True,1,the circle is green,the circle is green,the circle is green,0.628,0.3045,0.3125,0.0,45.0,9.05,2,image+text
synth_no_pass3_00049,no_pass3,What color is the large rectangle?,a yellow square,yellow | yellow | yellow,True,1.0,0.6,0.6667,False,1,a yellow square,large rectangle,a yellow square,0.5279,0.3042,0.2129,0.0,41.5,9.05,2,image+text
synth_no_pass3_00050,no_pass3,What color is the large rectangle?,a large rectangle,pink | pink | pink,False,0.0,0.6,0.6667,True,1,a large rectangle,pink,a large rectangle,0.5397,0.3042,0.2244,0.0,42.0,9.05,2,image+text
synth_no_pass3_00051,no_pass3,What color is the large rectangle?,the color orange,orange | orange | orange,True,1.0,1.0,1.0,False,1,the color orange,the color orange,the color orange,0.5683,0.3008,0.2568,0.0,45.5,9.05,2,image+text
synth_no_pass3_00052,no_pass3,Is the background color light or dark?,dark background,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark background,dark background,dark background,0.5024,0.278,0.2132,0.0,44.5,9.05,2,image+text
synth_no_pass3_00053,no_pass3,What color is the large rectangle?,red,maroon | maroon | dark red,True,0.3333,1.0,1.0,False,1,red,red,red,0.5276,0.3044,0.2128,0.0,43.5,9.05,2,image+text
synth_no_pass3_00054,no_pass3,What is the dominant color in this image?,the dominant color in this image,orange | orange | orange,False,0.0,0.6,0.6667,True,1,the dominant color in this image,orange,the dominant color in this image,0.7181,0.4049,0.303,0.0,43.5,9.05,2,image+text
synth_no_pass3_00055,no_pass3,What color is the large rectangle?,green,lime | lime | green,True,0.3333,1.0,1.0,False,1,green,green,green,0.4795,0.3001,0.1689,0.0,41.5,9.05,2,image+text
synth_no_pass3_00056,no_pass3,What color is the circle?,the circle is green,cyan | cyan | teal | teal,False,0.0,1.0,1.0,True,1,the circle is green,the circle is green,the circle is green,0.6261,0.31,0.305,0.0,44.0,9.05,2,image+text
synth_no_pass3_00057,no_pass3,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4831,0.2584,0.2143,0.0,45.5,9.05,2,image+text
synth_no_pass3_00058,no_pass3,What color is the circle?,pink,pink | pink | pink,True,1.0,1.0,1.0,False,1,pink,pink,pink,0.5283,0.2587,0.2592,0.0,45.0,9.05,2,image+text
synth_no_pass3_00059,no_pass3,Is the background color light or dark?,dark,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark,dark,dark,0.4392,0.2154,0.2133,0.0,45.5,9.05,2,image+text
synth_no_pass3_00060,no_pass3,What is the dominant color in this image?,the dominant color in this image,orange | orange | orange,False,0.0,0.6,0.6667,True,1,the dominant color in this image,orange,the dominant color in this image,0.7265,0.4135,0.3017,0.0,45.5,9.05,2,image+text
synth_no_pass3_00061,no_pass3,What color is the circle in this image?,yellow,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,yellow,yellow,yellow,0.5674,0.3001,0.2567,0.0,47.0,9.05,2,image+text
synth_no_pass3_00062,no_pass3,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue is the dominant color in this image,blue is the dominant color in this image,blue is the dominant color in this image,0.9822,0.488,0.4837,0.0,46.0,9.05,2,image+text
synth_no_pass3_00063,no_pass3,Is the circle on the left or right side?,a circle on the left side,right | right | right,False,0.0,0.6,0.6667,True,1,a circle on the left side,right side,a circle on the left side,0.7068,0.4818,0.2139,0.0,39.5,9.05,2,image+text
synth_no_pass3_00064,no_pass3,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,0.6,0.6667,False,1,the dominant color in this image is yellow,a dominant color in this image,the dominant color in this image is yellow,0.9566,0.4903,0.4554,0.0,38.5,9.05,2,image+text
synth_no_pass3_00065,no_pass3,What color is the background?,the background is white,cream | white | beige,True,0.3333,1.0,1.0,False,1,the background is white,the background is white,the background is white,0.6208,0.3042,0.3054,0.0,42.0,9.05,2,image+text
synth_no_pass3_00066,no_pass3,What color is the large rectangle?,the large rectangle is green,green | green | green,True,1.0,1.0,1.0,False,1,the large rectangle is green,the large rectangle is green,the large rectangle is green,0.7125,0.3507,0.351,0.0,43.5,9.05,2,image+text
synth_no_pass3_00067,no_pass3,Is the circle on the left or right side?,a circle on the left side,right | right | right,False,0.0,0.6,0.6667,True,1,a circle on the left side,right side,a circle on the left side,0.7245,0.4929,0.221,0.0,39.5,9.05,2,image+text
synth_no_pass3_00068,no_pass3,What color is the circle in this image?,red,red | red | red,True,1.0,1.0,1.0,False,1,red,red,red,0.4741,0.254,0.2092,0.0,43.5,9.05,2,image+text
synth_no_pass3_00069,no_pass3,Is there a green shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.524,0.2556,0.2584,0.0,46.0,9.05,2,image+text
synth_no_pass3_00070,no_pass3,Is there a red shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.5336,0.3118,0.2109,0.0,44.5,9.05,2,image+text
synth_no_pass3_00071,no_pass3,What color is the large rectangle?,a large rectangle,pink | pink | pink,False,0.0,0.6,0.6667,True,1,a large rectangle,pink,a large rectangle,0.5389,0.3144,0.2141,0.0,45.5,9.05,2,image+text
synth_no_pass3_00072,no_pass3,What color is the large rectangle?,the large rectangle is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the large rectangle is purple,the large rectangle is purple,the large rectangle is purple,0.7118,0.35,0.3506,0.0,46.5,9.05,2,image+text
synth_no_pass3_00073,no_pass3,What color is the circle?,red,maroon | dark red | red,True,0.6667,1.0,1.0,False,1,red,red,red,0.4835,0.3056,0.1674,0.0,47.0,9.05,2,image+text
synth_no_pass3_00074,no_pass3,Is there a purple shape in this image?,yes,no | no | no,False,0.0,1.0,1.0,True,1,yes,yes,yes,0.4798,0.2564,0.2127,0.0,45.5,9.05,2,image+text
synth_no_pass3_00075,no_pass3,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4756,0.2561,0.2094,0.0,45.0,9.05,2,image+text
synth_no_pass3_00076,no_pass3,Is there a red shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.5175,0.2978,0.2091,0.0,46.5,9.05,2,image+text
synth_no_pass3_00077,no_pass3,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue is the dominant color in this image,blue is the dominant color in this image,blue is the dominant color in this image,1.0059,0.504,0.4901,0.0,41.5,9.05,2,image+text
synth_no_pass3_00078,no_pass3,Is the background color light or dark?,dark,light | light | light,False,0.0,0.6,0.6667,True,1,dark,light,dark,0.435,0.2117,0.2131,0.0,43.0,9.05,2,image+text
synth_no_pass3_00079,no_pass3,Is the circle on the left or right side?,a circle on the left side,right | right | right,False,0.0,0.6,0.6667,True,1,a circle on the left side,right side,a circle on the left side,0.7401,0.4884,0.241,0.0,45.5,9.05,2,image+text
synth_no_pass3_00080,no_pass3,What color is the large rectangle?,the large rectangle is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the large rectangle is purple,the large rectangle is purple,the large rectangle is purple,0.7255,0.3669,0.3474,0.0,36.5,9.05,2,image+text
synth_no_pass3_00081,no_pass3,What color is the circle in this image?,yellow,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,yellow,yellow,yellow,0.5726,0.3031,0.2594,0.0,39.5,9.05,2,image+text
synth_no_pass3_00082,no_pass3,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4834,0.2583,0.2147,0.0,43.5,9.05,2,image+text
synth_no_pass3_00083,no_pass3,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color is purple,the dominant color in this image is purple,0.9146,0.4892,0.4141,0.0,48.0,9.05,2,image+text
synth_no_pass3_00084,no_pass3,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue is the dominant color in this image,blue is the dominant color in this image,blue is the dominant color in this image,0.9846,0.4831,0.4894,0.0,44.5,9.05,2,image+text
synth_no_pass3_00085,no_pass3,Is there a red shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.5211,0.3007,0.2097,0.0,43.0,9.05,2,image+text
synth_no_pass3_00086,no_pass3,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color is purple,the dominant color in this image is purple,0.893,0.4851,0.3967,0.0,46.5,9.05,2,image+text
synth_no_pass3_00087,no_pass3,What color is the circle in this image?,red,red | red | red,True,1.0,1.0,1.0,False,1,red,red,red,0.4809,0.2576,0.213,0.0,47.0,9.05,2,image+text
synth_no_pass3_00088,no_pass3,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue is the dominant color in this image,blue is the dominant color in this image,blue is the dominant color in this image,1.026,0.4888,0.5265,0.0,41.5,9.05,2,image+text
synth_no_pass3_00089,no_pass3,What color is the large rectangle?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.475,0.2542,0.2101,0.0,39.0,9.05,2,image+text
synth_no_pass3_00090,no_pass3,What color is the large rectangle?,the large rectangle is green,green | green | green,True,1.0,1.0,1.0,False,1,the large rectangle is green,the large rectangle is green,the large rectangle is green,0.7189,0.3498,0.3587,0.0,42.5,9.05,2,image+text
synth_no_pass3_00091,no_pass3,Is the circle on the left or right side?,is the circle on the left side,left | left | left,True,1.0,1.0,1.0,False,1,is the circle on the left side,Is the circle on the left side,is the circle on the left side,0.9559,0.4466,0.4984,0.0,40.0,9.05,2,image+text
synth_no_pass3_00092,no_pass3,Is the background color light or dark?,dark,light | light | light,False,0.0,0.6,0.6667,True,1,dark,light,dark,0.4429,0.2148,0.2174,0.0,41.0,9.05,2,image+text
synth_no_pass3_00093,no_pass3,What is the dominant color in this image?,the dominant color in this image is green,green | green | green,True,1.0,1.0,1.0,False,1,the dominant color in this image is green,the dominant color is green,the dominant color in this image is green,0.862,0.4957,0.3545,0.0,46.0,9.05,2,image+text
synth_no_pass3_00094,no_pass3,What color is the background?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.5331,0.3091,0.2136,0.0,45.5,9.05,2,image+text
synth_no_pass3_00095,no_pass3,Is the background color light or dark?,dark background,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark background,dark background,dark background,0.4799,0.2581,0.2114,0.0,42.5,9.05,2,image+text
synth_no_pass3_00096,no_pass3,Is the background color light or dark?,a dark background,dark | dark | medium,True,0.6667,1.0,1.0,False,1,a dark background,a dark background,a dark background,0.6293,0.302,0.3167,0.0,43.0,9.05,2,image+text
synth_no_pass3_00097,no_pass3,What color is the background?,gray,gray | gray | grey,True,0.6667,1.0,1.0,False,1,gray,gray,gray,0.4318,0.21,0.2106,0.0,45.0,9.05,2,image+text
synth_no_pass3_00098,no_pass3,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4777,0.2562,0.2109,0.0,45.5,9.05,2,image+text
synth_no_pass3_00099,no_pass3,What color is the background?,white,white | white | white,True,1.0,1.0,1.0,False,1,white,white,white,0.4787,0.3027,0.1656,0.0,45.0,9.05,2,image+text
synth_no_pass3_00100,no_pass3,What color is the large rectangle?,red,red | red | red,True,1.0,1.0,1.0,False,1,red,red,red,0.5419,0.3203,0.2106,0.0,29.0,9.05,2,image+text
synth_no_pass3_00101,no_pass3,Is the background color light or dark?,dark background,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark background,dark background,dark background,0.4774,0.256,0.2108,0.0,43.5,9.05,2,image+text
synth_no_pass3_00102,no_pass3,Is there a green shape in this image?,yes,no | no | no,False,0.0,1.0,1.0,True,1,yes,yes,yes,0.4921,0.2552,0.2265,0.0,43.5,9.05,2,image+text
synth_no_pass3_00103,no_pass3,What color is the large rectangle?,the large rectangle is blue,teal | teal | green,False,0.0,1.0,1.0,True,1,the large rectangle is blue,the large rectangle is blue,the large rectangle is blue,0.7059,0.3462,0.3487,0.0,44.5,9.05,2,image+text
synth_no_pass3_00104,no_pass3,Is the background color light or dark?,dark blue,dark | dark | dark,False,0.0,1.0,1.0,True,1,dark blue,dark blue,dark blue,0.4349,0.2095,0.2152,0.0,47.0,9.05,2,image+text
synth_no_pass3_00105,no_pass3,What is the dominant color in this image?,red is the dominant color in this image,red | red | red,True,1.0,1.0,1.0,False,1,red is the dominant color in this image,red is the dominant color in this image,red is the dominant color in this image,0.9927,0.4926,0.4893,0.0,42.5,9.05,2,image+text
synth_no_pass3_00106,no_pass3,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4758,0.2542,0.2114,0.0,41.0,9.05,2,image+text
synth_no_pass3_00107,no_pass3,What color is the large rectangle?,the large rectangle is white,white | white | white,True,1.0,1.0,1.0,False,1,the large rectangle is white,the large rectangle is white,the large rectangle is white,0.7264,0.361,0.3549,0.0,42.5,9.05,2,image+text
synth_no_pass3_00108,no_pass3,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,0.6,0.6667,False,1,the dominant color in this image is yellow,a dominant color in this image,the dominant color in this image is yellow,0.9377,0.4823,0.4441,0.0,43.0,9.05,2,image+text
synth_no_pass3_00109,no_pass3,What color is the circle?,a red circle,brown | brown | maroon,False,0.0,0.6,0.6667,True,1,a red circle,maroon,a red circle,0.5733,0.3057,0.2573,0.0,44.5,9.05,2,image+text
synth_no_pass3_00110,no_pass3,What color is the large rectangle?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.4989,0.2599,0.2283,0.0,45.0,9.05,2,image+text
synth_no_pass3_00111,no_pass3,What color is the large rectangle?,navy blue,navy | dark blue | navy,True,0.3333,1.0,1.0,False,1,navy blue,navy blue,navy blue,0.4359,0.2123,0.2131,0.0,46.0,9.05,2,image+text
synth_no_pass3_00112,no_pass3,Is the background color light or dark?,dark background,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark background,dark background,dark background,0.4814,0.258,0.2122,0.0,43.5,9.05,2,image+text
synth_no_pass3_00113,no_pass3,Is there a purple shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.4938,0.2585,0.2249,0.0,44.0,9.05,2,image+text
synth_no_pass3_00114,no_pass3,What is the dominant color in this image?,the dominant color in this image,orange | orange | orange,False,0.0,0.6,0.6667,True,1,the dominant color in this image,orange,the dominant color in this image,0.7157,0.3996,0.3052,0.0,46.0,9.05,2,image+text
synth_no_pass3_00115,no_pass3,Is there a blue shape in this image?,yes,no | no | no,False,0.0,1.0,1.0,True,1,yes,yes,yes,0.4921,0.2596,0.2221,0.0,46.0,9.05,2,image+text
synth_no_pass3_00116,no_pass3,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,0.6,0.6667,False,1,the dominant color in this image is yellow,a dominant color in this image,the dominant color in this image is yellow,0.9717,0.4913,0.469,0.0,45.5,9.05,2,image+text
synth_no_pass3_00117,no_pass3,What color is the background?,gray,gray | gray | grey,True,0.6667,1.0,1.0,False,1,gray,gray,gray,0.4381,0.2142,0.2135,0.0,44.5,9.05,2,image+text
synth_no_pass3_00118,no_pass3,Is the circle on the left or right side?,is the circle on the left side,left | left | left,True,1.0,1.0,1.0,False,1,is the circle on the left side,is the circle on the left side,is the circle on the left side,0.9473,0.443,0.4931,0.0,41.5,9.05,2,image+text
synth_no_pass3_00119,no_pass3,Is the background color light or dark?,dark,light | light | light,False,0.0,0.6,0.6667,True,1,dark,light,dark,0.4385,0.2134,0.2144,0.0,42.0,9.05,2,image+text
synth_no_pass3_00120,no_pass3,What is the dominant color in this image?,the dominant color in this image is blue,teal | teal | cyan | blue-green,False,0.0,1.0,1.0,True,1,the dominant color in this image is blue,the dominant color is blue,the dominant color in this image is blue,0.9277,0.5133,0.4032,0.0,34.5,9.05,2,image+text
